N,Average Time (ms),Success Rate,Total Runs
8, 0.076825 ms, 100%, 1
9, 0.028231 ms, 100%, 1
10, 0.076925 ms, 100%, 1
11, 0.044565 ms, 100%, 1
12, 0.210493 ms, 100%, 1
13, 0.094981 ms, 100%, 1
14, 1.81194 ms, 100%, 1
15, 1.36866 ms, 100%, 1
16, 10.8568 ms, 100%, 1
17, 6.04958 ms, 100%, 1
18, 48.2158 ms, 100%, 1
19, 3.12673 ms, 100%, 1
20, 255.026 ms, 100%, 1
21, 11.4142 ms, 100%, 1
22, 2378.95 ms, 100%, 1
23, 35.6682 ms, 100%, 1
24, 604.952 ms, 100%, 1
25, 74.2297 ms, 100%, 1
26, 619.674 ms, 100%, 1
27, 731.036 ms, 100%, 1
28, 5114.98 ms, 100%, 1
29, 2694 ms, 100%, 1
30, 104347 ms, 100%, 1
31, 23909.7 ms, 100%, 1
32, 163506 ms, 100%, 1
33, 268357 ms, 100%, 1
34, INF ms, 100%, 1
