N, Average Time (ms), Success Rate, Total Runs
8, 0.263138 ms, 100%, 10
9, 0.0771182 ms, 100%, 10
10, 0.224934 ms, 100%, 10
11, 0.0978218 ms, 100%, 10
12, 0.558342 ms, 100%, 10
13, 0.233939 ms, 100%, 10
14, 4.31657 ms, 100%, 10
15, 2.1215 ms, 100%, 10
16, 12.5079 ms, 100%, 10
17, 6.90509 ms, 100%, 10
18, 56.0186 ms, 100%, 10
19, 3.51968 ms, 100%, 10
20, 289.569 ms, 100%, 10
21, 12.5955 ms, 100%, 10
22, 2700.62 ms, 100%, 10
23, 39.9266 ms, 100%, 10
24, 688.301 ms, 100%, 10
25, 84.4334 ms, 100%, 10
