N, Average Time (ms), Success Rate, Total Runs
8, 0 ms, 0%, 50
9, 0 ms, 0%, 50
10, 0 ms, 0%, 50
11, 0 ms, 0%, 50
12, 0 ms, 0%, 50
13, 0 ms, 0%, 50
14, 0 ms, 0%, 50
15, 0 ms, 0%, 50
16, 0 ms, 0%, 50
17, 0 ms, 0%, 50
18, 0 ms, 0%, 50
19, 0 ms, 0%, 50
20, 46.2872 ms, 64%, 50
21, 77.1841 ms, 62%, 50
22, 65.5422 ms, 26%, 50
23, 111.321 ms, 58%, 50
24, 354.649 ms, 100%, 50
25, 2626.41 ms, 100%, 50
26, 3213.39 ms, 98%, 50
27, 1309.68 ms, 100%, 50
28, 2555.5 ms, 100%, 50
29, 7117.88 ms, 100%, 50
30, 6010.04 ms, 100%, 50
31, 7981.2 ms, 100%, 50
32, 24961.6 ms, 100%, 50
33, 35187.1 ms, 100%, 50
34, 24228.1 ms, 100%, 50
35, 48346.7 ms, 100%, 50
36, 45430.7 ms, 100%, 20
37, 26507.4 ms, 100%, 20
38, 46486.4 ms, 100%, 20
39, 80841.4 ms, 100%, 20
40, 19879.4 ms, 100%, 20
